soc_code,soc_title
15113200,"Software Developers, Applications"
17301300,Mechanical Drafters
15203100,Operations Research Analysts
19203100,Chemists
15112100,Computer Systems Analysts
11202200,Sales Managers
15113300,"Software Developers, Systems Software"
15119901,Software Quality Assurance Engineers and Testers
19102100,Biochemists and Biophysicists
29112300,Physical Therapists
13116100,Market Research Analysts and Marketing Specialists
19409901,Quality Control Analysts
27201200,Producers and Directors
17207200,"Electronics Engineers, Except Computer"
11302100,Computer and Information Systems Managers
25112200,"Communications Teachers, Postsecondary"
45201100,Agricultural Inspectors
13111100,Management Analysts
17203100,Biomedical Engineers
17211200,Industrial Engineers
17205100,Civil Engineers
13107500,Labor Relations Specialists
13119900,"Business Operations Specialists, All Other"
19104200,"Medical Scientists, Except Epidemiologists"
25112500,"History Teachers, Postsecondary"
15119900,"Computer Occupations, All Other"
17219902,Validation Engineers
15113100,Computer Programmers
17101100,"Architects, Except Landscape and Naval"
15119908,Business Intelligence Analysts
15119902,Computer Systems Engineers/Architects
15114200,Network and Computer Systems Administrators
15119909,Information Technology Project Managers
15111100,Computer and Information Research Scientists
27102400,Graphic Designers
172021,Electrical Engineers
15113400,Web Developers
53201100,"Airline Pilots, Copilots, and Flight Engineers"
29106200,Family and General Practitioners
172071,Electrical Engineers
29112500,Recreational Therapists
15114100,Database Administrators
29112502,Music Therapists
13201100,Accountants and Auditors
17214100,Mechanical Engineers
151132,"Software Developers, Applications"
15119907,Data Warehousing Specialists
13108100,Logisticians
27101100,Art Directors
17207100,Electrical Engineers
17207600,"Electronics Engineers, Except Computer, R&D"
15112200,Information Security Analysts
27102100,Commercial and Industrial Designers
25103200,"Engineering Teachers, Postsecondary"
15119906,Database Architects
19203200,Materials Scientists
17206100,Computer Hardware Engineers
131111,Management Analysts
19102903,Geneticists
27309100,Interpreters and Translators
29201100,Medical and Clinical Laboratory Technologists
13119905,Sustainability Specialists
11919904,Supply Chain Managers
11912100,Natural Sciences Managers
13104107,Regulatory Affairs Specialists
15103500,"Software Developers, Applications, R&D"
11902100,Construction Managers
29106600,Psychiatrists
11101100,Chief Executives
29113100,Veterinarians
19103200,Foresters
19406100,Social Science Research Assistants
19102900,"Biological Scientists, All Other"
11303100,Financial Managers
11102100,General and Operations Managers
19102901,Bioinformatics Scientists
19201200,Physicists
13107100,Human Resources Specialists
11903300,"Education Administrators, Postsecondary"
19301100,Economists
19102200,Microbiologists
27102900,"Designers, All Other"
25202100,"Elementary School Teachers, Except Special Education"
29102100,"Dentists, General"
13201102,Auditors
11202100,Marketing Managers
11307100,"Transportation, Storage, and Distribution Managers"
13105100,Cost Estimators
29114100,Registered Nurses
15204100,Statisticians
17213100,Materials Engineers
11911100,Medical and Health Services Managers
11904100,Architectural and Engineering Managers
29106900,"Physicians and Surgeons, All Other"
152041,Statisticians
27303100,Public Relations Specialists
15114300,Computer Network Architects
25101100,"Business Teachers, Postsecondary"
13201101,Accountants
11912101,Clinical Research Coordinators
15201100,Actuaries
17219904,Manufacturing Engineers
19309901,Transportation Planners
19309400,Political Scientists
17302600,Industrial Engineering Technicians
25203100,"Secondary School Teachers, Except Special and Career/Technical Education"
41903100,Sales Engineers
11305100,Industrial Production Managers
13205100,Financial Analysts
13203100,Budget Analysts
17212100,Marine Engineers and Naval Architects
25107100,"Health Specialties Teachers, Postsecondary"
27102500,Interior Designers
19102902,Molecular and Cellular Biologists
11311100,Compensation and Benefits Managers
19204200,"Geoscientists, Except Hydrologists and Geographers"
23101100,Lawyers
151121,Computer Systems Analysts
43911100,Statistical Assistants
15119910,Search Marketing Strategists
13209901,Financial Quantitative Analysts
25112100,"Art, Drama, and Music Teachers, Postsecondary"
15103400,"Software Developers, Applications, Non R&D"
15204102,Clinical Data Managers
29106300,"Internists, General"
27102200,Fashion Designers
25102100,"Computer Science Teachers, Postsecondary"
17211201,Human Factors Engineers and Ergonomists
172011,Aerospace Engineers
13101100,"Agents and Business Managers of Artists, Performers, and Athletes"
25903100,Instructional Coordinators
17301101,Architectural Drafters
27101400,Multimedia Artists and Animators
29117100,Nurse Practitioners
13209902,Risk Management Specialists
11919901,Regulatory Affairs Managers
27304200,Technical Writers
19109900,"Life Scientists, All Other"
19101200,Food Scientists and Technologists
17204100,Chemical Engineers
29114104,Clinical Nurse Specialists
13119902,Security Management Specialists
17201100,Aerospace Engineers
29105100,Pharmacists
21109900,"Community and Social Service Specialists, All Other"
15204101,Biostatisticians
29112700,Speech-Language Pathologists
19303200,Industrial-Organizational Psychologists
29106910,Radiologists
25106500,"Political Science Teachers, Postsecondary"
17205300,"Civil Engineers, R&D"
11307103,Logistics Managers
151141,Database Administrators
17302700,Mechanical Engineering Technicians
11312100,Human Resources Managers
17205101,Transportation Engineers
17219908,Robotics Engineers
25105200,"Chemistry Teachers, Postsecondary"
191021,Biochemists and Biophysicists
19104100,Epidemiologists
19202100,Atmospheric and Space Scientists
13206100,Financial Examiners
29112800,Exercise Physiologists
291069,"Physicians and Surgeons, All Other"
11919902,Compliance Managers
29909200,Genetic Counselors
29106700,Surgeons
291069,Hospitalist Physician and Practice Group Leader
19402100,Biological Technicians
25112400,"Foreign Language and Literature Teachers, Postsecondary"
291069,Hospitalist Physician
11919903,Investment Fund Managers
17214400,"Mechanical Engineers, R&D"
17219907,Photonics Engineers
17301100,Architectural and Civil Drafters
25102200,"Mathematical Science Teachers, Postsecondary"
11203100,Public Relations and Fundraising Managers
25104300,"Forestry and Conservation Science Teachers, Postsecondary"
29909900,"Healthcare Practitioners and Technical Workers, All Other"
41301100,Advertising Sales Agents
15103600,"Software Developers, Systems Software, Non R&D"
29112200,Occupational Therapists
13108101,Logistics Engineers
17219903,Energy Engineers
19302200,Survey Researchers
19101300,Soil and Plant Scientists
15115100,Computer User Support Specialists
21101500,Rehabilitation Counselors
15105200,"Computer Systems Analysts, Non R&D"
17207400,"Electrical Engineers, R&D"
25104200,"Biological Science Teachers, Postsecondary"
17214300,"Mechanical Engineers, Non R&D"
29101100,Chiropractors
17102100,Cartographers and Photogrammetrists
19303900,"Psychologists, All Other"
11306100,Purchasing Managers
17208100,Environmental Engineers
23201100,Paralegals and Legal Assistants
19201100,Astronomers
13205200,Personal Financial Advisors
17101200,Landscape Architects
17219910,Wind Energy Engineers
1511320000,"Software Developers, Applications"
29103100,Dietitians and Nutritionists
29106904,Neurologists
15103700,"Software Developers, Systems Software, R&D"
13102300,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13104100,Compliance Officers
29106907,Pathologists
17207500,"Electronics Engineers, Except Computer, Non R&D"
11915100,Social and Community Service Managers
17302300,Electrical and Electronic Engineering Technicians
19309900,"Social Scientists and Related Workers, All Other"
1511220000,Information Security Analysts
19204100,"Environmental Scientists and Specialists, Including Health"
15202100,Mathematicians
172141,Mechanical Engineers
27204101,Music Directors
29102900,"Dentists, All Other Specialists"
17219900,"Engineers, All Other"
17219905,Mechatronics Engineers
25205900,"Special Education Teachers, All Other"
27201205,Technical Directors/Managers
151211,Computer Systems Analysts
25909900,"Education, Training, and Library Workers, All Other"
17302905,Industrial Engineering Technologists
25201100,"Preschool Teachers, Except Special Education"
151142,Network and Computer Systems Administrators
15112101,Informatics Nurse Specialists
252022,Middle School Teacher
172051,Civil Engineers
Nov21,Computer and Information Systems Managers
17215100,"Mining and Geological Engineers, Including Mining Safety Engineers"
13204100,Credit Analysts
13115100,Training and Development Specialists
17211100,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
1310810000,Logisticians
15102300,"Computer Programmers, R&D"
11908100,Lodging Managers
17214102,Automotive Engineers
291051,Pharmacists
11303101,Treasurers and Controllers
21101200,"Educational, Guidance, School, and Vocational Counselors"
25106300,"Economics Teachers, Postsecondary"
41303103,Securities and Commodities Traders
25202200,"Middle School Teachers, Except Special and Career/Technical Education"
19101100,Animal Scientists
27304100,Editors
27304300,Writers and Authors
11201100,Advertising and Promotions Managers
13108102,Logistics Analysts
25401200,Curators
19301101,Environmental Economists
43303100,"Bookkeeping, Accounting, and Auditing Clerks"
11919900,"Managers, All Other"
29118100,Audiologists
251021,"Computer Science Teachers, Postsecondary"
29104100,Optometrists
29106500,"Pediatricians, General"
15102200,"Computer Programmers, Non R&D"
17206300,"Computer Hardware Engineers, R&D"
25309900,"Teachers and Instructors, All Other"
25108100,"Education Teachers, Postsecondary"
29106903,Hospitalists
13114100,"Compensation, Benefits, and Job Analysis Specialists"
27302200,Reporters and Correspondents
19305100,Urban and Regional Planners
21101400,Mental Health Counselors
25105400,"Physics Teachers, Postsecondary"
21109100,Health Educators
132011,Accountants and Auditors
152031,Operations Research Analysts
17208101,Water/Wastewater Engineers
194061,Social Science Research Assistants
17219909,Nanosystems Engineers
15119912,Document Management Specialists
13113100,Fundraisers
25112600,"Philosophy and Religion Teachers, Postsecondary"
17216100,Nuclear Engineers
41401200,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
211014,Mental Health Counselors
25112300,"English Language and Literature Teachers, Postsecondary"
194021,Biological Technicians
11905100,Food Service Managers
11303102,"Financial Managers, Branch or Department"
21202100,"Directors, Religious Activities and Education"
25302100,Self-Enrichment Education Teachers
17203100,BIOMEDICAL ENGINEERS
25107200,"Nursing Instructors and Teachers, Postsecondary"
19209900,"Physical Scientists, All Other"
15119904,Geospatial Information Scientists and Technologists
25106700,"Sociology Teachers, Postsecondary"
11305101,Quality Control Systems Managers
151052,"Computer Systems Analysts, Non R&D"
172031,Biomedical Engineers
29106908,Physical Medicine and Rehabilitation Physicians
27201201,Producers
27201203,Program Directors
29901100,Occupational Health and Safety Specialists
152031,Operations Research Analyst
15119905,Geographic Information Systems Technicians
19303100,"Clinical, Counseling, and School Psychologists"
25106600,"Psychology Teachers, Postsecondary"
151133,"Software Developers, Systems Software"
172072,"Electronics Engineers, Except Computer"
29106400,Obstetricians and Gynecologists
43911101,Bioinformatics Technicians
23209900,"Legal Support Workers, All Other"
49906400,Watch Repairers
29119900,"Health Diagnosing and Treating Practitioners, All Other"
292011,Medical and Clinical Laboratory Technologists
151131,COMPUTER PROGRAMMERS
17219904,Manufacturing Engineer
Nov41,Architectural and Engineering Managers
21102300,Mental Health and Substance Abuse Social Workers
41303100,"Securities, Commodities, and Financial Services Sales Agents"
19102300,Zoologists and Wildlife Biologists
17219906,Microsystems Engineers
15114301,Telecommunications Engineering Specialists
172063,"Computer Hardware Engineers, R&D"
151121,Computer Systems Analyst
251071,"Health Specialties Teachers, Postsecondary"
151199,"Computer Occupations, All Other"
151131,Computer Programmers
25201200,"Kindergarten Teachers, Except Special Education"
27309900,"Media and Communication Workers, All Other"
29106100,Anesthesiologists
15115200,Computer Network Support Specialists
25111200,"Law Teachers, Postsecondary"
25402100,Librarians
29106906,Ophthalmologists
49301100,Aircraft Mechanics and Service Technicians
19303102,Clinical Psychologists
11914100,"Property, Real Estate, and Community Association Managers"
27403200,Film and Video Editors
25309902,Tutors
29201101,Cytogenetic Technologists
191042,"Medical Scientists, Except Epidemiologists"
25106200,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
29909100,Athletic Trainers
13209904,"Fraud Examiners, Investigators and Analysts"
1120210000,Marketing Managers
29112600,Respiratory Therapists
25105100,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
11903100,"Education Administrators, Preschool and Childcare Center/Program"
49903100,Home Appliance Repairers
27204202,"Musicians, Instrumental"
35101100,Chefs and Head Cooks
25119900,"Postsecondary Teachers, All Other"
17217100,Petroleum Engineers
19309101,Anthropologists
41303101,"Sales Agents, Securities and Commodities"
13209900,"Financial Specialists, All Other"
25903101,Instructional Designers and Technologists
29119901,Acupuncturists
25111300,"Social Work Teachers, Postsecondary"
17219911,Solar Energy Systems Engineers
15119911,Video Game Designers
11313100,Training and Development Managers
19409100,"Environmental Science and Protection Technicians, Including Health"
19309200,Geographers
21102200,Healthcare Social Workers
11901300,"Farmers, Ranchers, and Other Agricultural Managers"
41401100,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
19204300,Hydrologists
19209901,Remote Sensing Scientists and Technologists
25103100,"Architecture Teachers, Postsecondary"
291066,Psychiatrists
27202200,Coaches and Scouts
17211102,Fire-Prevention and Protection Engineers
291127,Speech-Language Pathologists
25104100,"Agricultural Sciences Teachers, Postsecondary"
25902100,Farm and Home Management Advisors
27204104,Music Composers and Arrangers
19304100,Sociologists
45209300,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
13202102,"Appraisers, Real Estate"
13112100,"Meeting, Convention, and Event Planners"
Nov51,Industrial Production Managers
23101200,Judicial Law Clerks
15119903,Web Administrators
25205400,"Special Education Teachers, Secondary School"
17219901,Biochemical Engineers
35201400,"Cooks, Restaurant"
25205300,"Special Education Teachers, Middle School"
41302100,Insurance Sales Agents
43601100,Executive Secretaries and Executive Administrative Assistants
41304100,Travel Agents
25205200,"Special Education Teachers, Kindergarten and Elementary School"
15209900,"Mathematical Science Occupations, All Other"
29102400,Prosthodontists
13207101,Loan Counselors
11903200,"Education Administrators, Elementary and Secondary School"
29114103,Critical Care Nurses
13205300,Insurance Underwriters
172112,Industrial Engineers
17202100,Agricultural Engineers
25119300,"Recreation and Fitness Studies Teachers, Postsecondary"
17207300,"Electrical Engineers, Non R&D"
11901303,Aquacultural Managers
19404100,Geological and Petroleum Technicians
49304200,"Mobile Heavy Equipment Mechanics, Except Engines"
21201100,Clergy
29107100,Physician Assistants
231011,Lawyers
27304304,Copy Writers
41303102,"Sales Agents, Financial Services"
17302906,Manufacturing Engineering Technologists
21101300,Marriage and Family Therapists
21101100,Substance Abuse and Behavioral Disorder Counselors
25106400,"Geography Teachers, Postsecondary"
19401100,Agricultural and Food Science Technicians
1520410000,Statisticians
11301100,Administrative Services Managers
53605100,Transportation Inspectors
17207201,Radio Frequency Identification Device Specialists
27209900,"Entertainers and Performers, Sports and Related Workers, All Other"
17211103,Product Safety Engineers
271021,Commercial and Industrial Designers
29201200,Medical and Clinical Laboratory Technicians
29203300,Nuclear Medicine Technologists
35302201,Baristas
29205200,Pharmacy Technicians
11201101,Green Marketers
43408100,"Hotel, Motel, and Resort Desk Clerks"
1520310000,Operations Research Analysts
291067,Surgeons
15105400,"Computer Network Architects, Non R&D"
17302900,"Engineering Technicians, Except Drafters, All Other"
11307101,Transportation Managers
39903200,Recreation Workers
25205901,Adapted Physical Education Specialists
25401300,Museum Technicians and Conservators
17214101,Fuel Cell Engineers
1320110000,Accountants and Auditors
1130210000,Computer and Information Systems Managers
29108100,Podiatrists
13104107,Regulatory Affairs Specialist
53201200,Commercial Pilots
19203100,Chemist
192031,Chemists
1511330000,"Software Developers, Systems Software"
25106900,"Social Sciences Teachers, Postsecondary, All Other"
27401400,Sound Engineering Technicians
39909900,"Personal Care and Service Workers, All Other"
41901200,Models
19303101,School Psychologists
13102200,"Wholesale and Retail Buyers, Except Farm Products"
25106100,"Anthropology and Archeology Teachers, Postsecondary"
17302500,Environmental Engineering Technicians
43405100,Customer Service Representatives
11903900,"Education Administrators, All Other"
41101200,First-Line Supervisors of Non-Retail Sales Workers
13103100,"Claims Adjusters, Examiners, and Investigators"
1511990900,Information Technology Project Managers
29102300,Orthodontists
132051,Financial Analysts
172151,"Mining and Geological Engineers, Including Mining Safety"
19409900,"Life, Physical, and Social Science Technicians, All Other"
29201102,Cytotechnologists
13119906,Online Merchants
15105300,"Computer Systems Analysts, R&D"
25301100,Adult Basic and Secondary Education and Literacy Teachers and Instructors
41902100,Real Estate Brokers
17302200,Civil Engineering Technicians
41309900,"Sales Representatives, Services, All Other"
19103100,Conservation Scientists
29106909,Preventive Medicine Physicians
419031,Sales Engineers
51911100,Packaging and Filling Machine Operators and Tenders
31101400,Nursing Assistants
25105300,"Environmental Science Teachers, Postsecondary"
11305103,Biofuels Production Managers
19401102,Food Science Technicians
29102200,Oral and Maxillofacial Surgeons
25119200,"Home Economics Teachers, Postsecondary"
49909900,"Installation, Maintenance, and Repair Workers, All Other"
51901200,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
29115100,Nurse Anesthetists
17301201,Electronic Drafters
25111100,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
13207200,Loan Officers
151121,Computer Systems Analyts
15119903,Web Administrator
151132,"Software Developer, Applications"
291069,"PHYSICIANS AND SURGEONS, ALL OTHER"
Nov21,"Natural Sciences, Managers"
19401101,Agricultural Technicians
49302300,Automotive Service Technicians and Mechanics
19204101,Climate Change Analysts
31909900,"Healthcare Support Workers, All Other"
Nov21,Marketing Managers
291131,Veterinarians
17302904,Electronics Engineering Technologists
29203200,Diagnostic Medical Sonographers
19309100,Anthropologists and Archeologists
151111,Computer and Information Research Scientists
11903902,Fitness and Wellness Coordinators
27204100,Music Directors and Composers
43601400,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
27101300,"Fine Artists, Including Painters, Sculptors, and Illustrators"
29203100,Cardiovascular Technologists and Technicians
17211101,Industrial Safety and Health Engineers
17205200,"Civil Engineers, Non R&D"
25108200,"Library Science Teachers, Postsecondary"
13207100,Credit Counselors
29203400,Radiologic Technologists
27201204,Talent Directors
19103101,Soil and Water Conservationists
152021,Mathematicians
17212101,Marine Engineers
11307102,Storage and Distribution Managers
13202100,Appraisers and Assessors of Real Estate
131071,Human Resources Specialists
29901200,Occupational Health and Safety Technicians
151252,Software Developers
39701100,Tour Guides and Escorts
1320510000,Financial Analysts
21109400,Community Health Workers
27201202,"Directors- Stage, Motion Pictures, Television, and Radio"
51404100,Machinists
27401200,Broadcast Technicians
47211100,Electricians
29204100,Emergency Medical Technicians and Paramedics
49209600,"Electronic Equipment Installers and Repairers, Motor Vehicles"
172041,Mechanical Engineers
25119400,"Vocational Education Teachers, Postsecondary"
39701200,Travel Guides
27203100,Dancers
19303901,Neuropsychologists and Clinical Neuropsychologists
15113200,"Software Developers, Applications\"
17302911,Nanotechnology Engineering Technologists
43411100,"Interviewers, Except Eligibility and Loan"
17207200,"Electronics Engineer, Except Computer"
1130710000,"Transportation, Storage, and Distribution Managers"
251051,"Atmospheric, Earth, Marine and Space Sciences Teachers, Postsecondary"
43919900,"Office and Administrative Support Workers, All Other"
251031,"Architecture Teachers, Postsecondary"
19309300,Historians
31202100,Physical Therapist Assistants
172041,Chemical Engineers
17303102,Mapping Technicians
51919900,"Production Workers, All Other"
Nov22,Sales Managers
29112900,"Therapists, All Other"
47101100,First-Line Supervisors of Construction Trades and Extraction Workers
37101200,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
273031,Public Relations Specialists
29106912,Urologists
43301100,Bill and Account Collectors
251066,"Psychology Teachers, Postsecondary"
271024,Graphic Designers
11201100,Advertising and Promotions Manager
15119909,Information Technology Project Manager
17302902,Electrical Engineering Technologists
251032,"Engineering Teachers, Postsecondary"
1130610000,Purchasing Managers
15119909,information Technology Project Managers
251193,"Recreation and Fitness Studies Teachers, Postsecondary"
131161,Market Research Analysts and Marketing Specialists
152031,OPERATIONS RESEARCH ANALYSTS
45101107,First-Line Supervisors of Agricultural Crop and Horticultural Workers
251199,"Postsecondary Teachers, All Other"
53503100,Ship Engineers
2710240000,Graphic Designers
151132,Software Developers
29201103,Histotechnologists and Histologic Technicians
151132,"SOFTWARE DEVELOPERS, APPLICATIONS"
292091,Orthotists and Prosthetists
17302301,Electronics Engineering Technicians
172051,Civil Engineer
1511110000,Computer and Information Research Scientists
27402100,Photographers
49101100,"First-Line Supervisors of Mechanics, Installers, and Repairers"
291069,"Physicians and Surgeons, all other"
131081,Logisticians
45402900,"Logging Workers, All Other"
291061,Anesthesiologists
15119907,Data Warehousing Specialist
39904100,Residential Advisors
Nov51,Food Service Managers
43508103,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
29112501,Art Therapists
191013,Soil and Plant Scientists
251054,"Physics Teachers, Postsecondary"
151199,Information Technology Project Managers
13104101,Environmental Compliance Inspectors
13209901,Financial Quantitative Analyst
131111,Management Analyst
172072,"Electronics Engineers, Except Compute"
11101103,Chief Sustainability Officers
31909200,Medical Assistants
49302100,Automotive Body and Related Repairers
131141,"Compensation, Benefits, and Job Analysis Specialists"
151143,Computer Network Architects
47401100,Construction and Building Inspectors
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
11919908,Loss Prevention Managers
21102100,"Child, Family, and School Social Workers"
29119905,Orthoptists
11919907,Security Managers
15113200,"Software Developer, Applications"
21102900,"Social Workers, All Other"
19102001,Biologists
41909900,"Sales and Related Workers, All Other"
27203200,Choreographers
192042,"Geoscientists, Except Hydrologists and Geographers"
17207200,"Electronics Engineers, Except Computers"
131051,Cost Estimators
251011,"Business Teachers, Postsecondary"
252021,Elementary School Teacher
151034,"Software Developers, Applications, Non R&D"
151133,"Software Developer, Systems Software"
273091,Interpreters and Translators
193099,"Social Scientists and Related Workers, All Other"
251124,"Foreign Language & Literature Teachers, Postsecondary"
19303103,Counseling Psychologists
17301102,Civil Drafters
19403100,Chemical Technicians
39903100,Fitness Trainers and Aerobics Instructors
19204103,Industrial Ecologists
17102200,Surveyors
192012,Physicists
43906100,"Office Clerks, General"
27101900,"Artists and Related Workers, All Other"
Nov21,Construction Managers
25205100,"Special Education Teachers, Preschool"
33302106,Intelligence Analysts
151152,Computer Network Support Specialists
19204102,Environmental Restoration Planners
39902100,Personal Care Aides
191041,Epidemiologists
27102700,Set and Exhibit Designers
1721120000,Industrial Engineers
